unit,time,y,w
19,43,-0.6373053709327703,0
19,44,-0.6218469478268265,0
19,45,-0.5889741452292307,0
19,46,-0.5947526192368624,0
19,47,-0.5889536874303811,0
19,48,-0.5716473914206626,0
20,1,-0.7631515457421036,0
20,2,-0.8747710798014658,0
20,3,-0.7880817191709264,0
20,4,-0.7919451919782983,0
20,5,-0.8072154896815693,0
20,6,-0.8440931773757914,0
20,7,-0.8154508723035034,0
20,8,-0.8507710259127634,0
20,9,-0.824271548532125,0
20,10,-0.7847009378992142,0
20,11,-0.8104317937271386,0
20,12,-0.7842560446653577,0
20,13,-0.8055196913481684,0
20,14,-0.761996357296975,0
20,15,-0.7586999748140686,0
20,16,-0.8249493612144132,0
20,17,-0.8947525464155586,0
20,18,-0.912641161189935,0
20,19,-0.9831653435118444,0
20,20,-1.0031013082287892,0
20,21,-1.0073430680091748,0
20,22,-1.0092923526456836,0
20,23,-1.0340263364653905,0
20,24,-1.0428625207296225,0
20,25,-1.018408992327375,0
20,26,-1.0362434001052394,0
20,27,-1.0197270770732105,0
20,28,-1.0203410203798695,0
20,29,-1.0404783698835631,0
20,30,-1.0773371895640143,0
20,31,-1.1630500239290447,0
20,32,-1.2682671819238491,0
20,33,-1.3946950828712543,0
20,34,-1.5495358523686455,0
20,35,-1.613751124501456,0
20,36,-1.6350936191489112,0
20,37,-1.6672344063976832,0
20,38,-1.7365808057611511,0
20,39,-1.7695890028938086,0
20,40,-1.826025196697536,0
20,41,-1.9077269709905416,0
20,42,-1.948888590430209,0
20,43,-1.9491474462192366,0
20,44,-1.9292896233761274,0
20,45,-1.9008658751152785,0
20,46,-1.8775389754663312,0
20,47,-1.8609825694592006,0
20,48,-1.8373014018592277,0
21,1,-0.7196907890568252,0
21,2,-0.599985125673868,0
21,3,-0.6350392399612481,0
21,4,-0.6973696530624025,0
21,5,-0.6913062433741555,0
21,6,-0.6747738790076276,0
21,7,-0.6464530605900132,0
21,8,-0.5699624056137722,0
21,9,-0.5145243222795495,0
21,10,-0.44876554599097407,0
21,11,-0.37277010396074495,0
21,12,-0.32535819012911826,0
21,13,-0.3170851868006306,0
21,14,-0.20820230918117044,0
21,15,-0.2410269466208117,0
21,16,-0.27380580560536494,0
21,17,-0.25968099778861564,0
21,18,-0.34879389023225027,0
21,19,-0.32395715609313314,0
21,20,-0.25846732231011327,0
21,21,-0.18240863638201166,0
21,22,-0.04494553878144014,0
21,23,0.10863512239661599,0
21,24,0.12995993116125337,0
21,25,0.1643228734474853,0
21,26,0.13059292662771238,0
21,27,0.04695804868025899,0
21,28,0.02534080658707527,0
21,29,0.01710520880669808,0
21,30,0.008949447009192646,0
21,31,-0.0055469092828852595,0
21,32,-0.00852870305970388,0
21,33,-0.009759673543608294,0
21,34,-0.04111295896212219,0
21,35,-0.11194978764278751,0
21,36,-0.10244669720424682,0
21,37,-0.07396609805463417,0
21,38,-0.1187812273626685,0
21,39,-0.11310036649241884,0
21,40,-0.15927564703347574,0
21,41,-0.12143114264955202,0
21,42,-0.11313281347205795,0
21,43,-0.09828014054539036,0
21,44,-0.11475675724178025,0
21,45,-0.10959941869383183,0
21,46,-0.07346214608383494,0
21,47,0.002216830172132589,0
21,48,-0.08431979299964798,0
22,1,-0.23766029556132207,0
22,2,-0.21703656831802753,0
22,3,-0.20396533247493576,0
22,4,-0.20525577083346125,0
22,5,-0.16688632310390084,0
22,6,-0.18376898043795187,0
22,7,-0.16283801676811205,0
22,8,-0.15444014784276305,0
22,9,-0.12444071673021462,0
22,10,-0.09313941356902333,0
22,11,-0.05835482458783048,0
22,12,-0.030341104139959718,0
22,13,0.012233589704548464,0
22,14,0.04807240914663424,0
22,15,0.07637513210901492,0
22,16,0.07683328050325677,0
22,17,0.09670456148822026,0
22,18,0.11190163017089905,0
22,19,0.16121903731191534,0
22,20,0.186156056529037,0
22,21,0.2007302111595557,0
22,22,0.20053613188529695,0
22,23,0.18936994055088618,0
22,24,0.18358551844658155,0
22,25,0.19274727779890366,0
22,26,0.20036045763715915,0
22,27,0.23037153738972815,0
22,28,0.2572063437029364,0
22,29,0.273970836268167,0
22,30,0.28584051760500273,0
22,31,0.3051116198593231,0
22,32,0.30609534642646086,0
22,33,0.3241609344526797,0
22,34,0.35600962148390813,0
22,35,0.38380560747031023,0
22,36,0.4125117463740464,0
22,37,0.4161078113872847,0
22,38,0.43142589981380564,0
22,39,0.4234736717564713,0
22,40,0.37479802041520127,0
22,41,0.38681000171087376,0
22,42,0.38871963269593035,0
22,43,0.3976484589777094,0
22,44,0.4183705811797376,0
22,45,0.4507993330102895,0
22,46,0.47855691853540705,0
22,47,0.5225500804234642,0
22,48,0.5684921653118442,0
23,1,-0.9403784532245343,0
23,2,-0.9002169915160207,0
23,3,-0.8110130291557445,0
23,4,-0.7291527464187784,0
23,5,-0.6616982020681688,0
23,6,-0.68359153953626,0
23,7,-0.6161005722419555,0
23,8,-0.5509474096902078,0
23,9,-0.5707132556021106,0
23,10,-0.6109546774370909,0
23,11,-0.6103095718962575,0
23,12,-0.5916284066829398,0
23,13,-0.589538006846551,0
23,14,-0.5473231116979989,0
23,15,-0.5422022301789102,0
23,16,-0.5123985906109523,0
23,17,-0.5378570659089421,0
23,18,-0.5359558066411285,0
23,19,-0.5428768211471615,0
23,20,-0.49710680401351937,0
23,21,-0.4659781710078317,0
23,22,-0.46037042368694614,0
23,23,-0.43264422151712534,0
23,24,-0.41622459632785347,0
23,25,-0.40545128936036523,0
23,26,-0.4125052133629463,0
23,27,-0.42018152134823517,0
23,28,-0.43122408426404046,0
23,29,-0.4338051777222498,0
23,30,-0.4726883393367336,0
23,31,-0.4903909830479529,0
23,32,-0.5002866670959607,0
23,33,-0.45593292605618263,0
23,34,-0.45538284809773,0
23,35,-0.5251163645790875,0
23,36,-0.5188089221912744,0
23,37,-0.5533178369932088,0
23,38,-0.541159089866512,0
23,39,-0.5537783689058315,0
23,40,-0.5594832347167715,0
23,41,-0.5607983840698649,0
23,42,-0.5624020807692833,0
23,43,-0.5635951423235266,0
23,44,-0.5661611148787644,0
23,45,-0.570314464268681,0
23,46,-0.5671189929152041,0
23,47,-0.5648585788470459,0
23,48,-0.7329618366050834,0
24,1,-1.1063486485769323,0
24,2,-1.0619610411730793,0
24,3,-1.1849342652614725,0
24,4,-1.2992370048696031,0
24,5,-1.2555372651786447,0
24,6,-1.2537176416663378,0
24,7,-1.1175803554910022,0
24,8,-1.024590449161642,0
24,9,-0.9722853472441981,0
24,10,-0.9321486162382673,0
24,11,-0.8665123417783889,0
24,12,-0.8311368612559518,0
24,13,-0.813896408920475,0
24,14,-0.7984856640509159,0
24,15,-0.7766081646166292,0
24,16,-0.9331143015234789,0
24,17,-0.9195547242154145,0
24,18,-0.9690673184749086,0
24,19,-0.9003462384659393,0
24,20,-0.8848584671327373,0
24,21,-0.8542007721838107,0
24,22,-0.8002491745429019,0
24,23,-0.7930354914709614,0
24,24,-0.7334525712318554,0
24,25,-0.7187475568949306,0
24,26,-0.6642000452347316,0
24,27,-0.6539075740073743,0
24,28,-0.6306637541895341,0
24,29,-0.5938842776160396,0
24,30,-0.5611502063700922,0
24,31,-0.5720487740160429,0
24,32,-0.5798928068262921,0
24,33,-0.576393293848537,0
24,34,-0.5398802319510345,0
24,35,-0.5062798038979537,0
24,36,-0.4672847157768505,0
24,37,-0.4332913441260642,0
24,38,-0.390896387804208,0
24,39,-0.3414931405652455,0
24,40,-0.26492853888590506,0
24,41,-0.22302487257100978,0
24,42,-0.18939344489275456,0
24,43,-0.16179607691760722,0
24,44,-0.1380805171790911,0
24,45,-0.11641632201638252,0
24,46,-0.07552568329402476,0
24,47,-0.005102168265849194,0
24,48,0.05497630464803471,0
25,1,-0.18332827933209206,0
25,2,-0.22164448541732806,0
25,3,-0.1943822125932675,0
25,4,-0.17212164775808247,0
25,5,-0.16154426877979766,0
25,6,-0.10074466186316133,0
25,7,-0.08031662795825945,0
25,8,-0.06096136725038015,0
25,9,-0.019078771848938025,0
25,10,0.0020311622850881506,0
25,11,0.03915220415469989,0
25,12,0.07204497409353916,0
25,13,0.11699489356044879,0
25,14,0.1587272177397736,0
25,15,0.18348150764349924,0
25,16,0.179943781696684,0
25,17,0.2037135820552658,0
25,18,0.25384985724403286,0
25,19,0.28304987975141316,0
25,20,0.30148471340665406,0
25,21,0.28542012052589527,0
25,22,0.2435992675952532,0
25,23,0.1571348485186821,0
25,24,0.15821738343683922,0
25,25,0.20087248747588138,0
25,26,0.18489012916556824,0
25,27,0.20868188083137085,0
25,28,0.22674777735806106,0
25,29,0.23427629907660208,0
25,30,0.2596935555282398,0
25,31,0.26787371490632683,0
25,32,0.26531885505862984,0
25,33,0.31802842509297147,0
25,34,0.35439855955793576,0
25,35,0.37029655377392334,0
25,36,0.38362216400111393,0
25,37,0.37364054517732725,0
25,38,0.39936985288170845,0
25,39,0.43693770264744636,1
25,40,0.45152851805051863,1
25,41,0.46659546566628585,1
25,42,0.4803286905327804,1
25,43,0.4937367497552856,1
25,44,0.5159397601797817,1
25,45,0.5393352289343181,1
25,46,0.55919226462622,1
25,47,0.6060773164244972,1
25,48,0.6604633661001937,1
26,1,-0.34641252278402845,0
26,2,-0.28149186189632935,0
26,3,-0.200350127013321,0
26,4,-0.16677586486537344,0
26,5,-0.25913423491575927,0
26,6,-0.1025207091803697,0
26,7,-0.05070698247305305,0
26,8,0.04547812658941819,0
26,9,0.08384182136013152,0
26,10,0.1557931342533303,0
26,11,0.17327187072735484,0
26,12,0.26613689179651256,0
26,13,0.3127625969593195,0
26,14,0.32450073793715983,0
26,15,0.3360580815239409,0
26,16,0.1885494889510353,0
26,17,0.3350976342333203,0
26,18,0.45921403467399635,0
26,19,0.5177444656188515,0
26,20,0.5910342539807907,0
26,21,0.6305106926693709,0
26,22,0.645300838077187,0
26,23,0.6872849805464556,0
26,24,0.7200266293037494,0
26,25,0.7798671823717083,0
26,26,0.8086496296986567,0
26,27,0.8302433321441409,0
26,28,0.8785385481267607,0
26,29,0.9366724016751515,0
26,30,0.9899525761648249,0
26,31,1.0353513536692045,0
